GIS Status,AHJ: Name,# Potential Sites w/IX,Buildable Site Acreage w/IX,Site Acreage w/IX,Buildable Acreage Per Site,Campaign Owner: Full Name,AHJ: GEOID,AHJ: Market: Market Name,Utility: Utility  Name
Identified,Montgomery County,31,898.12,1103.58,35.6,,19137,Iowa,Interstate Power and Light Company
Identified,Johnson County,9,799.5,1268.29,140.92,,19103,Iowa,Interstate Power and Light Company
Identified,Carroll County,20,612.24,681.55,34.08,,19027,Iowa,Interstate Power and Light Company
Identified,Clinton County,18,587.17,665.25,36.96,,19045,Iowa,Interstate Power and Light Company
Identified,Floyd County,9,550.46,602.94,66.99,,19067,Iowa,MidAmerican Energy
Identified,Davis County,7,513.16,577.74,82.53,,19051,Iowa,Interstate Power and Light Company
Identified,Hardin County,5,410.28,466.78,93.36,,19083,Iowa,Interstate Power and Light Company
Identified,Poweshiek County,13,402.14,508.62,39.12,,19157,Iowa,MidAmerican Energy
Identified,Keokuk County,11,340.05,386.83,35.17,,19107,Iowa,MidAmerican Energy
Identified,Webster County,10,313.81,338.12,33.81,,19187,Iowa,Interstate Power and Light Company
Identified,Story County,4,286.97,318.44,79.61,,19169,Iowa,Interstate Power and Light Company
Identified,Adams County,7,233.04,263.69,37.67,,19003,Iowa,Interstate Power and Light Company
Identified,Page County,6,190.4,226.23,37.71,,19145,Iowa,MidAmerican Energy
Identified,Hancock County,4,155.06,292.28,73.07,,19081,Iowa,Interstate Power and Light Company
Identified,Taylor County,1,132.24,159.98,159.98,,19173,Iowa,MidAmerican Energy
Identified,Kossuth County,1,36.44,39,39,,19109,Iowa,Interstate Power and Light Company
Identified,Guthrie County,1,24.14,39.39,39.39,,19077,Iowa,MidAmerican Energy
Identified,Muscatine County,0,0,0,0,TJ Ozomoru,19139,Iowa,Interstate Power and Light Company
Identified,Muscatine County,0,0,0,0,TJ Ozomoru,19139,Iowa,Interstate Power and Light Company
Identified,Dubuque County,0,0,0,0,Jacob Hay,19061,Iowa,Interstate Power and Light Company
Identified,Scott County,0,0,0,0,Jacob Hay,19163,Iowa,Interstate Power and Light Company
Identified,Muscatine County,0,0,0,0,TJ Ozomoru,19139,Iowa,MidAmerican Energy
Identified,Scott County,0,0,0,0,Jacob Hay,19163,Iowa,MidAmerican Energy
Identified,Osceola County,0,0,0,0,,19143,Iowa,MidAmerican Energy
Identified,Emmet County,0,0,0,0,,19063,Iowa,Interstate Power and Light Company
Identified,Dickinson County,0,0,0,0,,19059,Iowa,Interstate Power and Light Company
Identified,Winnebago County,0,0,0,0,,19189,Iowa,Interstate Power and Light Company
Identified,Worth County,0,0,0,0,,19195,Iowa,Interstate Power and Light Company
Identified,Palo Alto County,0,0,0,0,,19147,Iowa,MidAmerican Energy
Identified,Clay County,0,0,0,0,,19041,Iowa,Interstate Power and Light Company
Identified,Palo Alto County,0,0,0,0,,19147,Iowa,Interstate Power and Light Company
Identified,Sioux County,0,0,0,0,,19167,Iowa,Interstate Power and Light Company
Identified,Clay County,0,0,0,0,,19041,Iowa,MidAmerican Energy
Identified,O'Brien County,0,0,0,0,,19141,Iowa,Interstate Power and Light Company
Identified,Floyd County,0,0,0,0,,19067,Iowa,Interstate Power and Light Company
Identified,Buena Vista County,0,0,0,0,,19021,Iowa,Interstate Power and Light Company
Identified,Lyon County,0,0,0,0,,19119,Iowa,Interstate Power and Light Company
Identified,Lyon County,0,0,0,0,,19119,Iowa,MidAmerican Energy
Identified,Tama County,0,0,0,0,,19171,Iowa,MidAmerican Energy
Identified,Buena Vista County,0,0,0,0,,19021,Iowa,MidAmerican Energy
Identified,Cherokee County,0,0,0,0,,19035,Iowa,Interstate Power and Light Company
Identified,Story County,0,0,0,0,,19169,Iowa,MidAmerican Energy
Identified,Butler County,0,0,0,0,,19023,Iowa,Interstate Power and Light Company
Identified,Cedar County,0,0,0,0,,19031,Iowa,MidAmerican Energy
Identified,Clinton County,0,0,0,0,,19045,Iowa,MidAmerican Energy
Identified,Black Hawk County,0,0,0,0,,19013,Iowa,Interstate Power and Light Company
Identified,Ida County,0,0,0,0,,19093,Iowa,MidAmerican Energy
Identified,Iowa County,0,0,0,0,,19095,Iowa,MidAmerican Energy
Identified,Johnson County,0,0,0,0,,19103,Iowa,MidAmerican Energy
Identified,Hardin County,0,0,0,0,,19083,Iowa,MidAmerican Energy
Identified,Warren County,0,0,0,0,,19181,Iowa,Interstate Power and Light Company
Identified,Marion County,0,0,0,0,,19125,Iowa,Interstate Power and Light Company
Identified,Mahaska County,0,0,0,0,,19123,Iowa,Interstate Power and Light Company
Identified,Wapello County,0,0,0,0,,19179,Iowa,MidAmerican Energy
Identified,Des Moines County,0,0,0,0,,19057,Iowa,Interstate Power and Light Company
Identified,Lucas County,0,0,0,0,,19117,Iowa,MidAmerican Energy
Identified,Adair County,0,0,0,0,,19001,Iowa,MidAmerican Energy
Identified,Taylor County,0,0,0,0,,19173,Iowa,Interstate Power and Light Company
Identified,Ringgold County,0,0,0,0,,19159,Iowa,Interstate Power and Light Company
